#
# Shavian1000 1.0 generated from template.
#
# This is an example tab-separated wordlist file that can be edited in a spreadsheet
# program or regenerated from a wordlist tool. See lexical model documentation at 
# https://help.keyman.com/developer/ for tools.
#
# Columns
# =======
# WORD	FREQUENCY	(Optional)NOTES
#
𐑿	1222
𐑲	1056
𐑑	824
𐑞	770
𐑩	564
𐑯	480
𐑯𐑴	454
𐑞𐑨𐑑	413
𐑦𐑑	388
𐑝	332
𐑥𐑰	312
𐑢𐑪𐑑	286
𐑦𐑟	282
𐑦𐑯	267
𐑞𐑦𐑕	250
𐑲𐑥	230
𐑓	217
𐑣𐑨𐑝	211
𐑥𐑲	210
𐑛𐑴𐑯𐑑	207
𐑡𐑳𐑕𐑑	197
𐑯𐑪𐑑	195
𐑛𐑵	194
𐑚𐑰	192
𐑪𐑯	192
𐑘𐑹	188
𐑢𐑪𐑟	184
𐑢𐑰	182
𐑦𐑑𐑕	180
𐑢𐑦𐑞	170
𐑕𐑴	169
𐑚𐑳𐑑	159
𐑷𐑤	158
𐑢𐑧𐑤	155
𐑴	155
𐑸	153
𐑣𐑰	150
𐑩𐑚𐑬𐑑	143
𐑣𐑽	141
𐑮𐑲𐑑	140
𐑘𐑫𐑼	136
𐑜𐑧𐑑	127
𐑬𐑑	122
𐑜𐑴𐑦𐑙	121
𐑤𐑲𐑒	121
𐑘𐑧𐑩	121
𐑦𐑓	121
𐑣𐑻	116
𐑴𐑒𐑱	113
𐑖𐑰	110
𐑒𐑨𐑯	108
𐑳𐑐	104
𐑢𐑪𐑯𐑑	103
𐑔𐑦𐑙𐑒	102
𐑞𐑨𐑑𐑕	102
𐑞𐑺	102
𐑯𐑬	101
𐑜𐑴	101
𐑣𐑦𐑥	97
𐑨𐑑	93
𐑣𐑬	88
𐑜𐑪𐑑	86
𐑢𐑳𐑯	84
𐑛𐑦𐑛	79
𐑢𐑲	79
𐑕𐑰	76
𐑑𐑵	73
𐑒𐑳𐑥	73
𐑜𐑫𐑛	73
𐑞𐑱	69
𐑮𐑾𐑤𐑦	68
𐑨𐑟	68
𐑢𐑫𐑛	68
𐑤𐑫𐑒	67
𐑢𐑧𐑯	65
𐑑𐑲𐑥	65
𐑢𐑦𐑤	65
𐑚𐑨𐑒	63
𐑒𐑨𐑯𐑑	63
𐑒𐑭𐑯𐑑	63
𐑥𐑰𐑯	62
𐑑𐑧𐑤	61
𐑦𐑤	61
𐑓𐑮𐑪𐑥	60
𐑣𐑱	59
𐑢𐑻	58
𐑣𐑰𐑟	58
𐑒𐑫𐑛	57
𐑛𐑦𐑛𐑩𐑯𐑑	57
𐑘𐑧𐑕	56
𐑣𐑦𐑟	56
𐑚𐑰𐑯	55
𐑹	55
𐑕𐑳𐑥𐑔𐑦𐑙	55
𐑣𐑵	54
𐑚𐑦𐑒𐑪𐑟	54
𐑕𐑳𐑥	53
𐑣𐑨𐑛	53
𐑞𐑧𐑯	52
𐑕𐑱	50
𐑑𐑱𐑒	50
𐑩𐑯	50
𐑢𐑱	50
𐑳𐑕	49
𐑚𐑲	49
𐑤𐑦𐑑𐑩𐑤	48
𐑥𐑱𐑒	46
𐑯𐑰𐑛	46
𐑜𐑩𐑯𐑩	45
𐑜𐑳𐑯𐑩	45
𐑯𐑧𐑝𐑼	45
𐑬𐑼	44
𐑢𐑰𐑼	43
𐑤𐑳𐑝	43
𐑖𐑰𐑟	43
𐑲𐑝	42
𐑢𐑺	42
𐑖𐑫𐑼	41
𐑞𐑧𐑥	40
𐑥𐑹	40
𐑴𐑝𐑼	40
𐑕𐑪𐑮𐑦	40
𐑢𐑪𐑑𐑕	39
𐑤𐑧𐑑	39
𐑔𐑦𐑙	38
𐑨𐑥	38
𐑥𐑱𐑚𐑰	38
𐑛𐑬𐑯	38
𐑥𐑨𐑯	37
𐑣𐑨𐑟	37
𐑩𐑣	36
𐑝𐑧𐑮𐑦	36
𐑞𐑺𐑟	35
𐑖𐑫𐑛	35
𐑧𐑯𐑦𐑔𐑦𐑙	35
𐑕𐑧𐑛	35
𐑥𐑳𐑗	34
𐑧𐑯𐑦	34
𐑤𐑲𐑓	34
𐑰𐑝𐑩𐑯	34
𐑪𐑓	34
𐑐𐑤𐑰𐑟	34
𐑛𐑵𐑦𐑙	33
𐑯𐑿	32
𐑔𐑨𐑙𐑒	32
𐑜𐑦𐑝	31
𐑴𐑯𐑤𐑦	31
𐑔𐑷𐑑	30
𐑣𐑧𐑤𐑐	30
𐑑𐑷𐑒	29
𐑐𐑰𐑐𐑩𐑤	29
𐑜𐑪𐑛	29
𐑕𐑑𐑦𐑤	28
𐑢𐑱𐑑	28
𐑦𐑯𐑑𐑵	27
𐑓𐑲𐑯𐑛	27
𐑯𐑳𐑔𐑦𐑙	27
𐑩𐑜𐑱𐑯	26
𐑔𐑦𐑙𐑟	26
𐑤𐑧𐑑𐑕	26
𐑛𐑳𐑟𐑩𐑯𐑑	26
𐑒𐑷𐑤	26
𐑑𐑴𐑤𐑛	26
𐑜𐑮𐑱𐑑	25
𐑚𐑦𐑓𐑹	25
𐑚𐑧𐑑𐑼	25
𐑧𐑝𐑼	25
𐑯𐑲𐑑	25
𐑞𐑨𐑯	25
𐑩𐑢𐑱	25
𐑓𐑻𐑕𐑑	25
𐑚𐑦𐑤𐑰𐑝	24
𐑳𐑞𐑼	24
𐑓𐑰𐑤	24
𐑧𐑝𐑮𐑦𐑔𐑦𐑙	24
𐑢𐑻𐑒	24
𐑣𐑲	24
𐑿𐑝	23
𐑓𐑲𐑯	23
𐑣𐑴𐑥	23
𐑭𐑓𐑑𐑼	22
𐑤𐑭𐑕𐑑	22
𐑞𐑰𐑟	22
𐑛𐑱	22
𐑒𐑰𐑐	22
𐑛𐑳𐑟	22
𐑐𐑫𐑑	22
𐑼𐑬𐑯𐑛	22
𐑕𐑑𐑪𐑐	21
𐑞𐑱𐑼	21
𐑲𐑛	21
𐑜𐑲	21
𐑤𐑪𐑙	21
𐑦𐑟𐑩𐑯𐑑	21
𐑷𐑤𐑢𐑱𐑟	21
𐑤𐑦𐑕𐑩𐑯	20
𐑢𐑪𐑯𐑑𐑩𐑛	20
𐑥𐑼	20
𐑜𐑲𐑟	20
𐑣𐑩𐑣	20
𐑞𐑴𐑟	20
𐑚𐑦𐑜	20
𐑤𐑪𐑑	19
𐑣𐑨𐑐𐑩𐑯𐑛	19
𐑔𐑨𐑙𐑒𐑕	19
𐑢𐑴𐑯𐑑	19
𐑑𐑮𐑲𐑦𐑙	19
𐑒𐑲𐑯𐑛	19
𐑮𐑪𐑙	19
𐑔𐑮𐑵	19
𐑑𐑷𐑒𐑦𐑙	19
𐑥𐑱𐑛	19
𐑚𐑰𐑦𐑙	19
𐑜𐑧𐑕	18
𐑩𐑥	18
𐑒𐑺	18
𐑚𐑨𐑛	18
𐑥𐑪𐑥	18
𐑥𐑳𐑥	18
𐑮𐑦𐑥𐑧𐑥𐑚𐑼	17
𐑜𐑧𐑑𐑦𐑙	17
𐑢𐑰𐑤	17
𐑑𐑩𐑜𐑧𐑞𐑼	17
𐑛𐑨𐑛	17
𐑤𐑰𐑝	17
𐑥𐑳𐑞𐑼	17
𐑐𐑤𐑱𐑕	17
𐑳𐑯𐑛𐑼𐑕𐑑𐑨𐑯𐑛	17
𐑢𐑫𐑛𐑩𐑯𐑑	17
𐑨𐑒𐑗𐑵𐑩𐑤𐑦	17
𐑚𐑱𐑚𐑦	17
𐑯𐑲𐑕	16
𐑓𐑭𐑞𐑼	16
𐑧𐑤𐑕	16
𐑕𐑑𐑱	16
𐑛𐑳𐑯	16
𐑢𐑪𐑟𐑩𐑯𐑑	16
𐑒𐑹𐑕	16
𐑥𐑲𐑑	16
𐑥𐑲𐑯𐑛	15
𐑧𐑝𐑮𐑦	15
𐑦𐑯𐑳𐑓	15
𐑑𐑮𐑲	15
𐑣𐑧𐑤	15
𐑒𐑱𐑥	15
𐑕𐑳𐑥𐑢𐑳𐑯	15
𐑿𐑤	15
𐑴𐑯	15
𐑓𐑨𐑥𐑦𐑤𐑦	15
𐑣𐑴𐑤	15
𐑩𐑯𐑳𐑞𐑼	15
𐑣𐑬𐑕	14
𐑡𐑨𐑒	14
𐑘𐑹𐑕𐑧𐑤𐑓	14
𐑲𐑛𐑾	14
𐑭𐑕𐑒	14
𐑚𐑧𐑕𐑑	14
𐑥𐑳𐑕𐑑	14
𐑒𐑳𐑥𐑦𐑙	14
𐑴𐑤𐑛	14
𐑤𐑫𐑒𐑦𐑙	14
𐑢𐑫𐑥𐑩𐑯	14
𐑣𐑧𐑤𐑴	14
𐑢𐑦𐑗	14
𐑘𐑽𐑟	14
𐑮𐑵𐑥	13
𐑥𐑳𐑯𐑦	13
𐑤𐑧𐑓𐑑	13
𐑑𐑩𐑯𐑲𐑑	13
𐑮𐑾𐑤	13
𐑕𐑳𐑯	13
𐑣𐑴𐑐	13
𐑯𐑱𐑥	13
𐑕𐑱𐑥	13
𐑢𐑧𐑯𐑑	13
𐑣𐑥𐑥	13
𐑣𐑨𐑐𐑦	13
𐑐𐑮𐑦𐑑𐑦	13
𐑕𐑷	13
𐑜𐑻𐑤	13
𐑕𐑻	13
𐑖𐑴	12
𐑓𐑮𐑧𐑯𐑛	12
𐑷𐑤𐑮𐑧𐑛𐑦	12
𐑕𐑱𐑦𐑙	12
𐑥𐑱	12
𐑯𐑧𐑒𐑕𐑑	12
𐑔𐑮𐑰	12
𐑡𐑪𐑚	12
𐑐𐑮𐑪𐑚𐑤𐑩𐑥	12
𐑥𐑦𐑯𐑦𐑑	12
𐑓𐑬𐑯𐑛	12
𐑢𐑻𐑤𐑛	12
𐑔𐑦𐑙𐑒𐑦𐑙	12
